 ,,,,,,,,,,,,,,,,,,,
,,Capacidad:   7.5 KWh,Dimenciones (cm) ,114.5 x 57.4 x 11.9,,,,,,,,,,,,,,,
,,, peso (Kg),75,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Modelos de 8 KWh,,,,,,,,,,,,,,,,,,,
,XINXIN ENERGY.pdf,Marca: Rarlon,Modelo ,XX-C-BM-280HW 1P8S-A01,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),25.6V  / 314Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,200A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
5 años
",---,,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,10.000 ciclos a un 80% de DOD,,,,,,,,,,,,,,,
,,Capacidad:   8 KWh,Dimenciones (cm) ,43.2 x 24.4 x 63.7,,,,,,,,,,,,,,,
,,, peso (Kg),76,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Modelos de 10 KWh,,,,,,,,,,,,,,,,,,,
,SunC ESS catalog 2026.pdf,Marca: SUNC SOLAR,Modelo ,SCAE-A-51.2-200 (BMS 100A),Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  / 200Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,100A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
5 años
",$899.00,,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,6.000 ciclos a un 80% de DOD,,,,,,,,,,,,,,,
,,Capacidad:   10 KWh,Dimenciones (cm) ,43.5 x 28 x63,,,,,,,,,,,,,,,
,,, peso (Kg),--,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,SunC ESS catalog 2026.pdf,Marca: SUNC SOLAR,Modelo ,SCAE-A-51.2-200 (BMS 200A),Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  / 200Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,200A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
5 años
",$938.00,,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,6.000 ciclos a un 80% de DOD,,,,,,,,,,,,,,,
,,Capacidad:   10 KWh,Dimenciones (cm) ,43.5 x 28 x63,,,,,,,,,,,,,,,
,,, peso (Kg),--,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,XINXIN ENERGY.pdf,Marca: Rarlon,Modelo ,XX-C-BM-200HW 1P16S-A01,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  / 200Ah,,,,,,,,,,,,,,,
